x [mm],y [mm],z [mm],B [T]
32,4,2,-0.475
32,6,2,-0.457
32,8,2,-0.441
32,10,2,-0.423
32,12,2,-0.386
34,0,2,-0.867
34,2,2,-0.768
34,4,2,-0.694
34,6,2,-0.656
34,8,2,-0.647
34,10,2,-0.667
34,12,2,-0.728
36,0,2,-0.868
36,2,2,-0.768
36,4,2,-0.694
36,6,2,-0.656
36,8,2,-0.647
36,10,2,-0.667
36,12,2,-0.728
38,0,2,-0.927
38,2,2,-0.869
38,4,2,-0.818
38,6,2,-0.789
38,8,2,-0.784
38,10,2,-0.804
38,12,2,-0.849
40,0,2,-0.946
40,2,2,-0.897
40,4,2,-0.854
40,6,2,-0.83
40,8,2,-0.827
40,10,2,-0.845
40,12,2,-0.883
42,0,2,-0.957
42,2,2,-0.918
42,4,2,-0.881
42,6,2,-0.86
42,8,2,-0.858
42,10,2,-0.874
42,12,2,-0.908
44,0,2,-0.968
44,2,2,-0.934
44,4,2,-0.934
44,6,2,-0.883
44,8,2,-0.881
44,10,2,-0.881
44,12,2,-0.926
46,0,2,-0.98
46,2,2,-0.946
46,4,2,-0.916
46,6,2,-0.9
46,8,2,-0.899
46,10,2,-0.913
46,12,2,-0.941
48,0,2,-0.978
48,2,2,-0.946
48,4,2,-0.916
48,6,2,-0.9
48,8,2,-0.899
48,10,2,-0.913
48,12,2,-0.942
50,0,2,-0.992
50,2,2,-0.964
50,4,2,-0.937
50,6,2,-0.923
50,8,2,-0.922
50,10,2,-0.935
50,12,2,-0.961
52,0,2,-0.986
52,2,2,-0.97
52,4,2,-0.944
52,6,2,-0.93
52,8,2,-0.93
52,10,2,-0.943
52,12,2,-0.968
54,0,2,-1.003
54,2,2,-0.974
54,4,2,-0.95
54,6,2,-0.936
54,8,2,-0.936
54,10,2,-0.949
54,12,2,-0.973
56,0,2,-1.003
56,2,2,-0.974
56,4,2,-0.95
56,6,2,-0.936
56,8,2,-0.936
56,10,2,-0.949
56,12,2,-0.973
58,0,2,-1.008
58,2,2,-1.011
58,4,2,-0.958
58,6,2,-0.945
58,8,2,-0.945
58,10,2,-0.957
58,12,2,-0.981
60,0,2,-1.01
60,2,2,-0.984
60,4,2,-0.96
60,6,2,-0.948
60,8,2,-0.948
60,10,2,-0.96
60,12,2,-0.984
62,0,2,-1.011
62,2,2,-0.985
62,4,2,-0.962
62,6,2,-0.95
62,8,2,-0.95
62,10,2,-0.963
62,12,2,-0.986
64,0,2,-1.005
64,2,2,-0.986
64,4,2,-0.964
64,6,2,-0.952
64,8,2,-0.952
64,10,2,-0.965
64,12,2,-0.988
66,0,2,-1.011
66,2,2,-0.987
66,4,2,-0.966
66,6,2,-0.954
66,8,2,-0.954
66,10,2,-0.967
66,12,2,-0.99
68,0,2,-1.012
68,2,2,-0.989
68,4,2,-0.967
68,6,2,-0.956
68,8,2,-0.956
68,10,2,-0.968
68,12,2,-0.991
70,0,2,-1.014
70,2,2,-0.99
70,4,2,-0.968
70,6,2,-0.957
70,8,2,-0.957
70,10,2,-0.969
70,12,2,-0.993
72,0,2,-1.015
72,2,2,-0.99
72,4,2,-0.968
72,6,2,-0.957
72,8,2,-0.957
